第3章 役員	やくいん
第1節 執行委員会役員	しっこういいんかいやくいん
第27条 本会執行委員会に次の役員を置く。	ほんかいしっこういいんかいにつぎのやくいんをおく。
会長1名、副会長2名、	かいちょう1めい、ふくかいちょう2めい、
庶務5名、会計2名。	しょむ5めい、かいけい2めい。
第28条 会長は全会員中から選出され、	かいちょうはぜんかいいんちゅうからせんしゅつされ、
本会に関する一切の事項に関して	ほんかいにかんするいっさいのじこうにかんして
最高の責任を負う。	さいこうのせきにんをおう。
第29条 副会長は会長を補佐して	ふくかいちょうはかいちょうをほさして
本会に関する事項を行う。	ほんかいにかんするじこうをおこなう。
なお副会長2名のうち1名は文化関係、	なおふくかいちょう2めいのうち1めいはぶんかかんけい、
他は体育関係を担当しそれぞれ	ほかはたいいくかんけいをたんとうしそれぞれ
文化部長、体育部長を兼ねる。	ぶんかぶちょう、たいいくぶちょうをかねる。
第30条 会長副会長3名は	かいちょうふくかいちょう3めいは
同性のみで構成しない。	どうせいのみでこうせいしない。
第31条 会計2名のうち1名が文化関係会計、	かいけい2めいのうち1めいがぶんかかんけいかいけい、
他は体育関係会計を担当する。	ほかはたいいくかんけいかいけいをたんとうする。
第32条 庶務5名は美化委員1名、保健委員1名、	しょむ5めいはびかいいん1めい、ほけんいいん1めい、
風紀委員1名、図書委員1名、	ふうきいいん1めい、としょいいん1めい、
交通委員1名、ホームルーム委員1名を	こうつういいん1めい、ほーむるーむいいん1めいを
会長の委嘱によってそれぞれ担当する。	かいちょうのいしょくによってそれぞれたんとうする。
第33条 執行委員会役員の不信任は	しっこういいんかいやくいんのふしんにんは
代議委員の3分の2以上又は	だいぎいいんの3ぶんの2いじょうまたは
全会員の5分の1以上の要求によって	ぜんかいいんの5ぶんの1いじょうのようきゅうによって
全会員が信任投票を行い、	ぜんかいいんがしんにんとうひょうをおこない、
その3分の2以上に	その3ぶんの2いじょうに
信任されなかったときに解任される。	しんにんされなかったときにかいにんされる。
なおこの場合一切の事項を	なおこのばあいいっさいのじこうを
選挙管理委員会が担当する。	せんきょかんりいいんかいがたんとうする。
第2節 ホームルーム役員	ほーむるーむやくいん
第34条 各ホームルームは互選により、	かくほーむるーむはごせんにより、
次の役員を置く。	つぎのやくいんをおく。
委員長1名、副委員長1名、	いいんちょう1めい、ふくいいんちょう1めい、
会計委員2名、文化委員2名、	かいけいいいん2めい、ぶんかいいん2めい、
美化委員2名、体育委員2名、	びかいいん2めい、たいいくいいん2めい、
保健委員2名、風紀委員2名、	ほけんいいん2めい、ふうきいいん2めい、
図書委員2名、交通委員2名、	としょいいん2めい、こうつういいん2めい、
ホームルーム委員2名、	ほーむるーむいいん2めい、
体育会に関する委員複数名等。	たいいくかいにかんするいいんふくすうめいとう。
第35条 各ホームルームは本会活動に	かくほーむるーむはほんかいかつどうに
必要な意見を提出し、また本会で	ひつようないけんをていしゅつし、またほんかいで
決定された事項を責任を持って実行する。	けっていされたじこうをせきにんをもってじっこうする。
